model,r2,mae,rmse
RandomForest,0.6118804958551289,60.95573236383377,175.75211076271802
LinearRegression,0.6005292671436355,115.20945084972918,178.30367676876807
DecisionTree,0.48304728957152665,65.13647073007398,202.83515299358376
BaselineMean,-0.028243352282540712,249.82646092037925,286.06568874292185
